key,en_US,zh_CN,ja_JP
PASSIVE_SPECIAL_P07_03,"Counterattack bonus","反击加成","カウンターボーナス"
PASSIVE_NAME_P07_04,Emptiness and Extreme Stillness,虚极静笃,虚極静篤
PASSIVE_DESC_P07_04,"When HP below 20%, evasion rate +60%","生命低于20%时，闪避率+60%","HP20%以下の時、回避率+60%"
PASSIVE_SPECIAL_P07_04,"Low HP evasion bonus","低HP闪避加成","低HP時の回避ボーナス"

# Mechanist Active Skills
SKILL_NAME_S08_01,Mechanic Kite,机关木鸢,機関木鳶
SKILL_DESC_S08_01,"Summons Mechanic Kite (blocks 1 attack), mechanic has 200 HP","召唤机关木鸢（挡1次攻击），机关有200HP","機関木鳶を召喚（攻撃を1回ブロック）、機関はHP200"
SKILL_SPECIAL_S08_01,"Mechanic HP: 200","机关HP：200","機関のHP：200"
SKILL_NAME_S08_02,Multi-Ballista,连弩车,連弩車
SKILL_DESC_S08_02,"Magic attack to all enemies with 100% damage coefficient, consumes 1 Mechanic","对所有敌人造成伤害的魔法攻击，系数100%，消耗1个机关","全ての敵にダメージを与える魔法攻撃、係数100%、機関を1つ消費"
SKILL_SPECIAL_S08_02,"Consumes one Mechanic","消耗1个机关","機関を1つ消費"
SKILL_NAME_S08_03,Fire Oil Jar,火油罐,火油罐
SKILL_DESC_S08_03,"Inflicts Burn (15% magic ATK) to all enemies for 2 turns","给所有敌人施加灼烧（15%法攻）效果，持续2回合","全ての敵に焼傷（法攻15%）を2ターン付与"
SKILL_SPECIAL_S08_03,"15% magic ATK burn per turn","每回合15%法攻灼烧","毎ターン法攻15%の焼傷"
SKILL_NAME_S08_04,Non-Aggression Shield,非攻盾,非攻盾
SKILL_DESC_S08_04,"Grants shield to an ally for 150% of caster's magic ATK, grants Immune Burn/Poison/Bleed to ally for 2 turns","给队友赋予护盾，量为施法者法攻的150%，给队友赋予免疫灼烧/中毒/流血效果，持续2回合","味方にシールド、量はキャスターの法攻150%、味方に焼傷/毒/出血免疫を2ターン付与"
SKILL_SPECIAL_S08_04,"Immunity to Burn/Poison/Bleed","免疫灼烧/中毒/流血","焼傷/毒/出血免疫"
SKILL_NAME_S08_05,Universal Love - Equality,兼爱·同仁,兼愛・同仁
SKILL_DESC_S08_05,"Grants all Mechanics share 15% damage to all allies for 3 turns","给所有队友赋予所有机关分担15%伤害效果，持续3回合","全ての味方に全機関でダメージ15%を分担する効果を3ターン付与"
SKILL_NAME_S08_06,Siege Hammer,攻城锤,攻城槌
SKILL_DESC_S08_06,"Magic attack with 180% damage coefficient, breaks shields","伤害系数180%的魔法攻击，破盾","ダメージ係数180%の魔法攻撃、シールドを破る"
SKILL_SPECIAL_S08_06,"Shield break","破盾","シールドを破る"
SKILL_NAME_S08_07,Mechanic Snake,机关蛇,機関蛇
SKILL_DESC_S08_07,"Summons Mechanic Snake (30% stun per turn) to an enemy for 3 turns","召唤机关蛇（每回合30%眩晕）到敌人，持续3回合","機関蛇を召喚（毎ターン30%スタン）して敵に付与、3ターン"
SKILL_NAME_S08_08,Mohist Compliance,墨守成规,墨守成規
SKILL_DESC_S08_08,"Grants DEF +20% and 5% max HP regen to all allies for 3 turns","给所有队友赋予防御+20%、每回合5%最大HP恢复效果，持续3回合","全ての味方に防御+20%、毎ターン最大HP5%回復を3ターン付与"

# Mechanist Passive Skills
PASSIVE_NAME_P08_01,Divine Craftsmanship,巧夺天工,巧奪天工
PASSIVE_DESC_P08_01,"When Mechanic is active, all ally damage +10%","机关存在时，所有队友伤害+10%","機関が存在する時、全ての味方のダメージ+10%"
PASSIVE_SPECIAL_P08_01,"Damage bonus with Mechanic","机关存在时伤害加成","機関存在時のダメージボーナス"
PASSIVE_NAME_P08_02,Mechanic Master,机关大师,機関大師
PASSIVE_DESC_P08_02,"Max summon limit +1","最大召唤上限+1","最大召喚数+1"
PASSIVE_SPECIAL_P08_02,"Extra summon slot","额外召唤槽","追加の召喚スロット"
PASSIVE_NAME_P08_03,Shared Life Lock,同命锁,同命鎖
PASSIVE_DESC_P08_03,"When Mechanic is destroyed, deals 100% magic ATK damage to attacker","机关被摧毁时，对攻击者造成100%法攻伤害","機関が破壊された時、攻撃者に法攻100%のダメージ"
PASSIVE_SPECIAL_P08_03,"Mechanic destruction damage","机关毁灭伤害","機関破壊時のダメージ"
PASSIVE_NAME_P08_04,Non-Aggression,非攻,非攻
PASSIVE_DESC_P08_04,"Against summoned enemies, damage +40%","对召唤的敌人，伤害+40%","召喚された敵に対してダメージ+40%"
PASSIVE_SPECIAL_P08_04,"Bonus damage vs summons","对召唤物追加伤害","召喚物への追加ダメージ"
